Layer,LDLR,SORT1,F9
0,0.13403629091892022,0.141290948828516,0.09263747052293084
1,0.11959055150228182,0.1500561628303405,0.08269716521935419
2,-0.024716611026752832,0.12066387361243817,0.10804561771176077
3,0.2106969434612107,0.14239204423215976,0.18637943606042082
4,0.2008161150995941,0.1695068481073403,0.06936970178729317
5,0.16701150994441197,0.15632395608217758,0.11362210898393216
6,0.10474687037951927,0.07513306857743085,0.12252178554610331
7,0.05499182929755358,0.14526368059586336,0.31448229761793045
8,0.13398382917661167,0.18145232682049914,0.21568501935938988
9,0.19885498763752882,0.14416911928433795,0.1604178813530056
10,0.15580569323871796,0.15663135192173477,0.1280577910987424
11,0.17705920461829996,0.12567547341233304,0.17404272611346547
12,0.11556244140832195,0.1131454857071408,0.08019678416854681
13,0.04082525032088366,0.13816248175459275,0.13933637245553596
14,0.09255981715279347,0.10473671023841355,0.12267804641830496
15,0.101071344574884,0.14954683967697166,0.17716331959230455
16,0.11825291399331736,0.1670096827474257,0.16662808309197144
17,0.04035797464091933,0.16058879098348472,0.1682742117591336
18,0.08950720824804263,0.152638377989491,0.10842476538950259
19,0.14425426706846495,0.10909373385818058,0.15979839801455306
20,0.0819815952152961,0.13018671925678052,0.11747083189373107
21,0.07300795466728632,0.1092228443209416,0.13122764317775545
22,0.07527482088052295,0.13111575369658637,0.07498640288283076
23,0.10300701641039436,0.14556503148353248,0.12046672797979768
24,0.20049886176707762,0.13600399599456875,0.02864361679226675
25,0.061742195988630566,0.1106401885685401,0.07036923349588503
26,0.09635884649452198,0.11144017836286382,0.060893844689431015
27,0.1692444200205572,0.12146148082397228,0.141919646502369
28,0.0637800820114344,0.09019895029840946,0.15485427533698137
29,0.14397328437827853,0.1119445598596214,0.09811299054362511
30,0.14460126551643432,0.1660989881970008,0.11375213579282308
31,0.1790210265805709,0.1587626859430542,0.07382827627895425
