Layer,PKLR
0,0.2050841258962272
1,0.18921088602004116
2,0.26602104147508243
3,0.22843885618087437
4,0.2723842536437256
5,0.2665667905149726
6,0.260803264378031
7,0.25500150568184166
8,0.3710179644624605
9,0.3092952696782568
10,0.32362421323159857
11,0.38746725837704354
12,0.16386640272551378
13,0.16242568360042287
14,0.332949503822758
15,0.19786390239762533
16,0.34364960104699915
17,0.2156193669289709
18,0.19852161760229353
19,0.176538971139526
20,0.18464078315187296
21,0.15325940972638616
22,0.2680406083618245
23,0.19373858378745099
24,0.18182979881216663
25,0.1505730548322625
26,0.17865558191668826
27,0.15034190112929077
28,0.2227221627083208
29,0.18993385846479732
30,0.1944626892059588
31,0.24042292249977357
