,TF,Accuracy,AUROC,AUPR,Model
0,MAX,0.7814896106719971,0.8429756164550781,0.832631528377533,NT32CLS MLP
1,MAX,0.7750547528266907,0.8425873517990112,0.8220182657241821,NT32Mean embed MLP
2,MAX,0.7827218174934387,0.8479969501495361,0.838241457939148,NT32CLS MLP
3,MAX,0.724260687828064,0.8401111364364624,0.8242172002792358,NT32Mean embed MLP
4,MAX,0.7743701934814453,0.8452957272529602,0.8317072987556458,NT32CLS MLP
5,MAX,0.7799835801124573,0.8455201387405396,0.8312820792198181,NT32Mean embed MLP
6,MAX,0.7730010747909546,0.8394496440887451,0.8272305727005005,NT32CLS MLP
7,MAX,0.7806681394577026,0.8452172875404358,0.8314875960350037,NT32Mean embed MLP
8,MAX,0.777519166469574,0.8429580926895142,0.8297581076622009,NT32CLS MLP
9,MAX,0.7109802961349487,0.8408750295639038,0.821301281452179,NT32Mean embed MLP
10,SRF,0.6693404912948608,0.7345008850097656,0.7498318552970886,NT32CLS MLP
11,SRF,0.6609371304512024,0.7228984236717224,0.7383649945259094,NT32Mean embed MLP
12,SRF,0.6712503433227539,0.7355180978775024,0.7496123313903809,NT32CLS MLP
13,SRF,0.6508785486221313,0.7116643190383911,0.7262585759162903,NT32Mean embed MLP
14,SRF,0.6557168364524841,0.7204851508140564,0.7356406450271606,NT32CLS MLP
15,SRF,0.6592819094657898,0.7331791520118713,0.7475420832633972,NT32Mean embed MLP
16,SRF,0.6597911715507507,0.7283772826194763,0.7413050532341003,NT32CLS MLP
17,SRF,0.6625922918319702,0.7309244275093079,0.7476133108139038,NT32Mean embed MLP
18,SRF,0.6685765385627747,0.7323379516601562,0.746991753578186,NT32CLS MLP
19,SRF,0.6631016135215759,0.7303481101989746,0.7406520247459412,NT32Mean embed MLP
20,ATF2,0.8192397356033325,0.9070342779159546,0.9176124930381775,NT32CLS MLP
21,ATF2,0.8056632876396179,0.8979648947715759,0.9091832637786865,NT32Mean embed MLP
22,ATF2,0.8262218832969666,0.914944052696228,0.9239134192466736,NT32CLS MLP
23,ATF2,0.7916989922523499,0.8861470222473145,0.8969045281410217,NT32Mean embed MLP
24,ATF2,0.7841996550559998,0.8951447606086731,0.9098159074783325,NT32CLS MLP
25,ATF2,0.8198862075805664,0.8981792330741882,0.9050073027610779,NT32Mean embed MLP
26,ATF2,0.8257046937942505,0.9131259918212891,0.9216352701187134,NT32CLS MLP
27,ATF2,0.8085078597068787,0.8871921896934509,0.9011369943618774,NT32Mean embed MLP
28,ATF2,0.8087664842605591,0.892096996307373,0.9048915505409241,NT32CLS MLP
29,ATF2,0.8165244460105896,0.903598427772522,0.9139993190765381,NT32Mean embed MLP
30,ELK1,0.7524888515472412,0.8215334415435791,0.8301607370376587,NT32CLS MLP
31,ELK1,0.7730861902236938,0.8320011496543884,0.8219262361526489,NT32Mean embed MLP
32,ELK1,0.77583247423172,0.835827648639679,0.8274394273757935,NT32CLS MLP
33,ELK1,0.7706831693649292,0.8301277160644531,0.8150004744529724,NT32Mean embed MLP
34,ELK1,0.77583247423172,0.843941330909729,0.8391620516777039,NT32CLS MLP
35,ELK1,0.7689666748046875,0.8370921015739441,0.8330051898956299,NT32Mean embed MLP
36,ELK1,0.77583247423172,0.8366929888725281,0.8340654373168945,NT32CLS MLP
37,ELK1,0.7689666748046875,0.8386285305023193,0.8374600410461426,NT32Mean embed MLP
38,ELK1,0.7590113282203674,0.8250797390937805,0.7968212366104126,NT32CLS MLP
39,ELK1,0.7751458883285522,0.8431139588356018,0.841204822063446,NT32Mean embed MLP
40,REST,0.6750386357307434,0.7454190850257874,0.7162742614746094,NT32CLS MLP
41,REST,0.7009273767471313,0.7707690000534058,0.7454949021339417,NT32Mean embed MLP
42,REST,0.6935857534408569,0.7681596279144287,0.7450294494628906,NT32CLS MLP
43,REST,0.6897217631340027,0.7549172043800354,0.7182077765464783,NT32Mean embed MLP
44,REST,0.6769706606864929,0.7383219003677368,0.7133287787437439,NT32CLS MLP
45,REST,0.6827666163444519,0.7573148608207703,0.7267459034919739,NT32Mean embed MLP
46,REST,0.681993842124939,0.7401341199874878,0.7035230398178101,NT32CLS MLP
47,REST,0.6962905526161194,0.7665293216705322,0.7395842671394348,NT32Mean embed MLP
48,REST,0.6885625720024109,0.7543525695800781,0.7097441554069519,NT32CLS MLP
49,REST,0.6912673711776733,0.7615137100219727,0.7257435917854309,NT32Mean embed MLP
50,CTCF,0.7273248434066772,0.8011248707771301,0.7923226952552795,NT32CLS MLP
51,CTCF,0.761817455291748,0.8427745699882507,0.8367071747779846,NT32Mean embed MLP
52,CTCF,0.7529364824295044,0.8410206437110901,0.8372464179992676,NT32CLS MLP
53,CTCF,0.7398728132247925,0.8187649250030518,0.8117395639419556,NT32Mean embed MLP
54,CTCF,0.740159273147583,0.8207804560661316,0.8117495775222778,NT32CLS MLP
55,CTCF,0.7195897698402405,0.7931166291236877,0.7747395634651184,NT32Mean embed MLP
56,CTCF,0.7725892663002014,0.8533691167831421,0.8484232425689697,NT32CLS MLP
57,CTCF,0.7582077383995056,0.8388003706932068,0.8332551717758179,NT32Mean embed MLP
58,CTCF,0.7528791427612305,0.8212406635284424,0.7945392727851868,NT32CLS MLP
59,CTCF,0.7234286665916443,0.7949602007865906,0.7738770842552185,NT32Mean embed MLP
60,Arid3,0.7055426239967346,0.778090238571167,0.7925578355789185,NT32CLS MLP
61,Arid3,0.7123181223869324,0.7855108976364136,0.8038672208786011,NT32Mean embed MLP
62,Arid3,0.7143174409866333,0.7867556810379028,0.8041995167732239,NT32CLS MLP
