,TF,Accuracy,AUROC,AUPR,Model
0,MAX,0.7794359255202629,0.779125143099054,0.7155425710091033,NT32 CLS logistic regression
1,MAX,0.781763417305586,0.7814352389833883,0.7183017042697122,NT32Mean embed logistic regression
2,SRF,0.6620830150241915,0.6616709158856976,0.6036915481935277,NT32 CLS logistic regression
3,SRF,0.6614463967405144,0.6611874310280154,0.602479946037356,NT32Mean embed logistic regression
4,ATF2,0.8357900181018878,0.8359780807440641,0.7883064796909272,NT32 CLS logistic regression
5,ATF2,0.839281096457202,0.8394874024477729,0.7927035413763069,NT32Mean embed logistic regression
6,ELK1,0.7826982492276005,0.7828568883005804,0.7285570150425769,NT32 CLS logistic regression
7,ELK1,0.7758324751115688,0.7759378995123829,0.7192883030345631,NT32Mean embed logistic regression
8,REST,0.6986089644513137,0.6985834996446645,0.6259832063591624,NT32 CLS logistic regression
9,REST,0.6951313755795981,0.6956669995881815,0.6217974486356044,NT32Mean embed logistic regression
10,CTCF,0.7642812123990145,0.7642740596980524,0.7016924782256465,NT32 CLS logistic regression
11,CTCF,0.7462900360969461,0.7462933820761709,0.682782884040949,NT32Mean embed logistic regression
12,Arid3,0.7049872264800622,0.7051230560768217,0.6493173801122333,NT32 CLS logistic regression
13,Arid3,0.7104298567144285,0.7105462656578868,0.6540744746988731,NT32Mean embed logistic regression
14,BACH1,0.7356701030927835,0.7342617841441162,0.6783929311505983,NT32 CLS logistic regression
15,BACH1,0.73,0.72867060049775,0.6715040979530058,NT32Mean embed logistic regression
16,GABPA,0.6885714285714286,0.6885358314225176,0.6303389586504997,NT32 CLS logistic regression
17,GABPA,0.6901587301587302,0.6901297903423987,0.6314931962466804,NT32Mean embed logistic regression
18,ZNF24,0.7081604426002767,0.7071721785992464,0.6430111700117939,NT32 CLS logistic regression
19,ZNF24,0.7002766251728907,0.6993202343201291,0.635248866413519,NT32Mean embed logistic regression
