,TF,Accuracy,AUROC,AUPR,Model
0,MAX,0.7912102937698364,0.8662380576133728,0.8710537552833557,GPN
1,MAX,0.7950438261032104,0.8697596788406372,0.8717806339263916,GPN
2,MAX,0.7975082397460938,0.8666790723800659,0.8679212331771851,GPN
3,MAX,0.7976451516151428,0.8693304657936096,0.8718152642250061,GPN
4,MAX,0.7957283854484558,0.8687811493873596,0.8714087009429932,GPN
5,SRF,0.7835497856140137,0.8630246520042419,0.882604718208313,GPN
6,SRF,0.777438223361969,0.8577578663825989,0.8776925802230835,GPN
7,SRF,0.7827858328819275,0.86149001121521,0.8789302110671997,GPN
8,SRF,0.7771835923194885,0.8588345050811768,0.877456784248352,GPN
9,SRF,0.7602495551109314,0.8436902165412903,0.861920952796936,GPN
10,ATF2,0.9517713785171509,0.9856221079826355,0.9880132675170898,GPN
11,ATF2,0.954357385635376,0.9860107898712158,0.9885429739952087,GPN
12,ATF2,0.9553917646408081,0.9855685830116272,0.9872721433639526,GPN
13,ATF2,0.9553917646408081,0.9858290553092957,0.987845778465271,GPN
14,ATF2,0.9515128135681152,0.9851452708244324,0.98704594373703,GPN
15,ELK1,0.7761757373809814,0.8499277830123901,0.854885458946228,GPN
16,ELK1,0.7699965834617615,0.8464365005493164,0.8562731742858887,GPN
17,ELK1,0.7778922319412231,0.8491997718811035,0.8658612966537476,GPN
18,ELK1,0.7775489091873169,0.8468717336654663,0.8561394810676575,GPN
19,ELK1,0.7792653441429138,0.8531717658042908,0.855244517326355,GPN
20,REST,0.7700927257537842,0.8537556529045105,0.8627950549125671,GPN
21,REST,0.7897990942001343,0.8624390959739685,0.8767393827438354,GPN
22,REST,0.7847759127616882,0.8577669262886047,0.8759884834289551,GPN
23,REST,0.7909582853317261,0.8645349740982056,0.8777984380722046,GPN
24,REST,0.7743431329727173,0.8618426322937012,0.8740502595901489,GPN
25,CTCF,0.9440211057662964,0.9867680072784424,0.9877275228500366,GPN
26,CTCF,0.9437345862388611,0.9877046942710876,0.9884424209594727,GPN
27,CTCF,0.9451670050621033,0.9880993962287903,0.988612949848175,GPN
28,CTCF,0.9440211057662964,0.9873798489570618,0.9881636500358582,GPN
29,CTCF,0.945625364780426,0.9880220890045166,0.9888135194778442,GPN
30,Arid3,0.7228701710700989,0.7988263368606567,0.815997838973999,GPN
31,Arid3,0.7256470322608948,0.7982560992240906,0.8154094219207764,GPN
32,Arid3,0.7185382843017578,0.7935495972633362,0.811259925365448,GPN
33,Arid3,0.7273131012916565,0.8031635284423828,0.8200092911720276,GPN
34,Arid3,0.7160946130752563,0.7947441935539246,0.8103746771812439,GPN
35,BACH1,0.7408247590065002,0.8224877715110779,0.8420431613922119,GPN
36,BACH1,0.7503092885017395,0.8234792947769165,0.8428704738616943,GPN
37,BACH1,0.7358762621879578,0.8014824986457825,0.827333927154541,GPN
38,BACH1,0.7356700897216797,0.8009606599807739,0.8268299102783203,GPN
39,BACH1,0.7316494584083557,0.8181630969047546,0.8378315567970276,GPN
40,GABPA,0.7371428608894348,0.8195591568946838,0.8252789974212646,GPN
41,GABPA,0.7473015785217285,0.8284444808959961,0.8345270156860352,GPN
42,GABPA,0.7168254256248474,0.8030767440795898,0.8090999722480774,GPN
43,GABPA,0.7333333492279053,0.8211042284965515,0.8248792886734009,GPN
44,GABPA,0.7228571176528931,0.8145400881767273,0.8220135569572449,GPN
45,ZNF24,0.7236514687538147,0.7842044830322266,0.8144762516021729,GPN
46,ZNF24,0.7258644700050354,0.7857828140258789,0.8178266286849976,GPN
47,ZNF24,0.7219917178153992,0.7861325144767761,0.8168267607688904,GPN
48,ZNF24,0.7147994637489319,0.7882890105247498,0.8189840316772461,GPN
49,ZNF24,0.7219917178153992,0.7866243720054626,0.8166362047195435,GPN
