,TF,Accuracy,AUROC,AUPR,Model
0,SF3B4,0.8783659934997559,0.9480559825897217,0.9415696859359741,NT32CLS MLP
1,SF3B4,0.8681150674819946,0.9433028697967529,0.9364044070243835,NT32Mean embed MLP
2,SF3B4,0.8730109930038452,0.9468850493431091,0.9411803483963013,NT32CLS MLP
3,SF3B4,0.8740820288658142,0.9449373483657837,0.9380402565002441,NT32Mean embed MLP
4,SF3B4,0.8733170032501221,0.9499781131744385,0.9471721649169922,NT32CLS MLP
5,SF3B4,0.8730109930038452,0.9416330456733704,0.9312751293182373,NT32Mean embed MLP
6,SF3B4,0.8768360018730164,0.9465387463569641,0.9401332139968872,NT32CLS MLP
7,SF3B4,0.8624541163444519,0.9366143345832825,0.9266365766525269,NT32Mean embed MLP
8,SF3B4,0.8769890069961548,0.9475390315055847,0.9439242482185364,NT32CLS MLP
9,SF3B4,0.8681150674819946,0.9442121982574463,0.9393213987350464,NT32Mean embed MLP
10,U2AF1,0.6919642686843872,0.8949501514434814,0.904466986656189,NT32CLS MLP
11,U2AF1,0.7752976417541504,0.887962818145752,0.8914043307304382,NT32Mean embed MLP
12,U2AF1,0.8035714030265808,0.8895854949951172,0.8861727714538574,NT32CLS MLP
13,U2AF1,0.8095238208770752,0.8900997042655945,0.8988877534866333,NT32Mean embed MLP
14,U2AF1,0.7857142686843872,0.8843182921409607,0.8899208903312683,NT32CLS MLP
15,U2AF1,0.793154776096344,0.8855553269386292,0.8948906064033508,NT32Mean embed MLP
16,U2AF1,0.8095238208770752,0.8974329829216003,0.8988490700721741,NT32CLS MLP
17,U2AF1,0.78125,0.8684194087982178,0.8758969902992249,NT32Mean embed MLP
18,U2AF1,0.7991071343421936,0.8955841064453125,0.9000787734985352,NT32CLS MLP
19,U2AF1,0.8080357313156128,0.893354058265686,0.9055001735687256,NT32Mean embed MLP
20,SRSF1,0.8765637874603271,0.9454490542411804,0.9377287030220032,NT32CLS MLP
21,SRSF1,0.8824020028114319,0.9430513978004456,0.9356361031532288,NT32Mean embed MLP
22,SRSF1,0.8632193207740784,0.9337256550788879,0.9334337711334229,NT32CLS MLP
23,SRSF1,0.853210985660553,0.9356091618537903,0.9288489818572998,NT32Mean embed MLP
24,SRSF1,0.7322769165039062,0.9358780384063721,0.9383348226547241,NT32CLS MLP
25,SRSF1,0.860717236995697,0.9352734684944153,0.9312070608139038,NT32Mean embed MLP
26,SRSF1,0.8040033578872681,0.9286014437675476,0.9277084469795227,NT32CLS MLP
27,SRSF1,0.8557130694389343,0.9354726076126099,0.9316446781158447,NT32Mean embed MLP
28,SRSF1,0.8690575361251831,0.947555661201477,0.9486201405525208,NT32CLS MLP
29,SRSF1,0.8790658712387085,0.9455717206001282,0.9395747780799866,NT32Mean embed MLP
30,QKI,0.8647660613059998,0.9488906264305115,0.947124719619751,NT32CLS MLP
31,QKI,0.8508771657943726,0.9279733300209045,0.9267555475234985,NT32Mean embed MLP
32,QKI,0.8779239654541016,0.9471346735954285,0.9468718767166138,NT32CLS MLP
33,QKI,0.8538011908531189,0.9262856841087341,0.9266358017921448,NT32Mean embed MLP
34,QKI,0.8815789222717285,0.9507631063461304,0.9494736194610596,NT32CLS MLP
35,QKI,0.863304078578949,0.9406054019927979,0.9423790574073792,NT32Mean embed MLP
36,QKI,0.8589181303977966,0.938593864440918,0.938823938369751,NT32CLS MLP
37,QKI,0.8574561476707458,0.9314982295036316,0.9350358247756958,NT32Mean embed MLP
38,QKI,0.8779239654541016,0.9491652846336365,0.9468870162963867,NT32CLS MLP
39,QKI,0.847953200340271,0.9372279644012451,0.9369871616363525,NT32Mean embed MLP
40,RBFOX2,0.8446547985076904,0.9252490401268005,0.9262055158615112,NT32CLS MLP
41,RBFOX2,0.8312917351722717,0.9214528799057007,0.9204515814781189,NT32Mean embed MLP
42,RBFOX2,0.8429844379425049,0.9170776605606079,0.9164838790893555,NT32CLS MLP
43,RBFOX2,0.8479955196380615,0.9239265322685242,0.9246317148208618,NT32Mean embed MLP
44,RBFOX2,0.8435412049293518,0.9146647453308105,0.9185136556625366,NT32CLS MLP
45,RBFOX2,0.8279510140419006,0.9238986372947693,0.9244095087051392,NT32Mean embed MLP
46,RBFOX2,0.852449893951416,0.9272795915603638,0.9291564226150513,NT32CLS MLP
47,RBFOX2,0.8446547985076904,0.9216985702514648,0.9196103811264038,NT32Mean embed MLP
48,RBFOX2,0.8390868306159973,0.9264213442802429,0.9273514747619629,NT32CLS MLP
49,RBFOX2,0.8134744167327881,0.9226940274238586,0.9221885800361633,NT32Mean embed MLP
50,PTBP1,0.9014519453048706,0.9749348163604736,0.9794515371322632,NT32CLS MLP
51,PTBP1,0.9190608859062195,0.9691248536109924,0.9742264151573181,NT32Mean embed MLP
52,PTBP1,0.9243126511573792,0.9776646494865417,0.9806054830551147,NT32CLS MLP
53,PTBP1,0.9178251624107361,0.9771625995635986,0.980759859085083,NT32Mean embed MLP
54,PTBP1,0.9301822781562805,0.9768053293228149,0.9780599474906921,NT32CLS MLP
55,PTBP1,0.9267840385437012,0.9762024879455566,0.9763654470443726,NT32Mean embed MLP
56,PTBP1,0.9119555354118347,0.9704293608665466,0.9712761640548706,NT32CLS MLP
57,PTBP1,0.9076305031776428,0.9676250219345093,0.9742865562438965,NT32Mean embed MLP
58,PTBP1,0.927092969417572,0.9728041887283325,0.9677008390426636,NT32CLS MLP
59,PTBP1,0.9212233424186707,0.9725183844566345,0.9732264876365662,NT32Mean embed MLP
60,HNRNPK,0.933682382106781,0.9772888422012329,0.9697515964508057,NT32CLS MLP
61,HNRNPK,0.9485166072845459,0.983604371547699,0.9753538966178894,NT32Mean embed MLP
62,HNRNPK,0.9406631588935852,0.9830866456031799,0.9789425134658813,NT32CLS MLP
63,HNRNPK,0.8804537653923035,0.9799599647521973,0.9753603935241699,NT32Mean embed MLP
64,HNRNPK,0.8682373762130737,0.9861781001091003,0.9830714464187622,NT32CLS MLP
65,HNRNPK,0.9467713832855225,0.9801733493804932,0.9713442325592041,NT32Mean embed MLP
66,HNRNPK,0.9397905468940735,0.9823054075241089,0.981961727142334,NT32CLS MLP
67,HNRNPK,0.9476439952850342,0.983156681060791,0.9744237065315247,NT32Mean embed MLP
68,HNRNPK,0.8961605429649353,0.9839560985565186,0.9771823883056641,NT32CLS MLP
69,HNRNPK,0.9502617716789246,0.9813047647476196,0.9726051688194275,NT32Mean embed MLP
70,TIA1,0.810997486114502,0.8915523290634155,0.8830485343933105,NT32CLS MLP
71,TIA1,0.7911025285720825,0.8798056244850159,0.8653851747512817,NT32Mean embed MLP
72,TIA1,0.8220502734184265,0.9047138690948486,0.8944331407546997,NT32CLS MLP
73,TIA1,0.8090632557868958,0.8896491527557373,0.8755220174789429,NT32Mean embed MLP
74,TIA1,0.8040895462036133,0.8939882516860962,0.8884470462799072,NT32CLS MLP
75,TIA1,0.8054711222648621,0.8897237777709961,0.881425142288208,NT32Mean embed MLP
76,TIA1,0.7662337422370911,0.8898771405220032,0.8825922608375549,NT32CLS MLP
77,TIA1,0.7913788557052612,0.8831825256347656,0.8733975887298584,NT32Mean embed MLP
78,TIA1,0.7546283602714539,0.865303099155426,0.8568986058235168,NT32CLS MLP
79,TIA1,0.7911025285720825,0.8764103651046753,0.8641526699066162,NT32Mean embed MLP
80,TARDBP,0.9376548528671265,0.9838405251502991,0.9819945693016052,NT32CLS MLP
81,TARDBP,0.9306358098983765,0.9808892607688904,0.9790093898773193,NT32Mean embed MLP
82,TARDBP,0.9459124803543091,0.9822887778282166,0.9783294200897217,NT32CLS MLP
83,TARDBP,0.9281585216522217,0.9802690744400024,0.9787589311599731,NT32Mean embed MLP
84,TARDBP,0.9512799382209778,0.9847297668457031,0.9815542101860046,NT32CLS MLP
85,TARDBP,0.9203137755393982,0.9797152876853943,0.9788647890090942,NT32Mean embed MLP
86,TARDBP,0.9355904459953308,0.9850612878799438,0.982745349407196,NT32CLS MLP
87,TARDBP,0.926094114780426,0.9830828905105591,0.9816869497299194,NT32Mean embed MLP
88,TARDBP,0.9475640058517456,0.9836346507072449,0.9804230332374573,NT32CLS MLP
