,TF,Accuracy,AUROC,AUPR,Model
0,SF3B4,0.886015911872705,0.886000621736818,0.8407467082895064,NT32 CLS logistic regression
1,SF3B4,0.8723990208078335,0.8723930125770616,0.8248305851891138,NT32Mean embed logistic regression
2,U2AF1,0.8482142857142857,0.8474661937486145,0.7990972519268678,NT32 CLS logistic regression
3,U2AF1,0.8363095238095238,0.8357437375304809,0.7871482859694189,NT32Mean embed logistic regression
4,SRSF1,0.8899082568807339,0.8891887298199469,0.8494512923919719,NT32 CLS logistic regression
5,SRSF1,0.8765638031693077,0.8762643008799256,0.8369420626993325,NT32Mean embed logistic regression
6,QKI,0.881578947368421,0.8814415800949084,0.8340214257832783,NT32 CLS logistic regression
7,QKI,0.8837719298245614,0.8837437475952289,0.8403038227981019,NT32Mean embed logistic regression
8,RBFOX2,0.85913140311804,0.8582834269401434,0.8072218978996459,NT32 CLS logistic regression
9,RBFOX2,0.8535634743875279,0.853012070624011,0.7974442709473663,NT32Mean embed logistic regression
10,PTBP1,0.9280197713932654,0.9281091811414393,0.9064190401574577,NT32 CLS logistic regression
11,PTBP1,0.92462156317578,0.9246972704714641,0.9003725375442416,NT32Mean embed logistic regression
12,HNRNPK,0.9485165794066318,0.9485197368421052,0.926286706123378,NT32 CLS logistic regression
13,HNRNPK,0.9458987783595113,0.9458972953216375,0.9223082545316641,NT32Mean embed logistic regression
14,TIA1,0.8140370268029843,0.8139865305341902,0.7508539074571904,NT32 CLS logistic regression
15,TIA1,0.8087869577231279,0.8087133929111483,0.7451053989877926,NT32Mean embed logistic regression
16,TARDBP,0.9488026424442609,0.9486239408043919,0.9308313285275227,NT32 CLS logistic regression
17,TARDBP,0.9360033030553262,0.9358372120778137,0.9119911301537451,NT32Mean embed logistic regression
18,PUM2,0.8193103448275862,0.8196720453612386,0.7521570610921795,NT32 CLS logistic regression
19,PUM2,0.8127586206896552,0.812864196485446,0.7478939639143213,NT32Mean embed logistic regression
