,TF,Accuracy,AUROC,AUPR,Model
0,SF3B4,0.9098837375640869,0.9702069163322449,0.9696272015571594,NT 32 CNN
1,SF3B4,0.9115667343139648,0.9706493020057678,0.9700284600257874,NT 32 CNN
2,SF3B4,0.9144737124443054,0.9707522988319397,0.9705606698989868,NT 32 CNN
3,SF3B4,0.9115667343139648,0.9710099101066589,0.9710785150527954,NT 32 CNN
4,SF3B4,0.9138616919517517,0.9714601039886475,0.9703924655914307,NT 32 CNN
5,U2AF1,0.8764880895614624,0.9457194209098816,0.9524587392807007,NT 32 CNN
6,U2AF1,0.875,0.9433517456054688,0.9519879221916199,NT 32 CNN
7,U2AF1,0.8705357313156128,0.9450099468231201,0.9526264667510986,NT 32 CNN
8,U2AF1,0.8601190447807312,0.9462647438049316,0.9536535739898682,NT 32 CNN
9,U2AF1,0.875,0.9457281827926636,0.9495258927345276,NT 32 CNN
10,SRSF1,0.8949124217033386,0.9610065817832947,0.9613584876060486,NT 32 CNN
11,SRSF1,0.8965804576873779,0.9599840044975281,0.9611103534698486,NT 32 CNN
12,SRSF1,0.8915762901306152,0.9609676003456116,0.9617605209350586,NT 32 CNN
13,SRSF1,0.8965804576873779,0.9602361917495728,0.9554712176322937,NT 32 CNN
14,SRSF1,0.8757297992706299,0.9620026350021362,0.9617407321929932,NT 32 CNN
15,QKI,0.9269005656242371,0.9780598282814026,0.9808524250984192,NT 32 CNN
16,QKI,0.9254385828971863,0.9795477390289307,0.9818978309631348,NT 32 CNN
17,QKI,0.9181286692619324,0.975470244884491,0.9791508316993713,NT 32 CNN
18,QKI,0.932748556137085,0.9781560897827148,0.9814237356185913,NT 32 CNN
19,QKI,0.9225146174430847,0.9748343825340271,0.9759690165519714,NT 32 CNN
20,RBFOX2,0.8635857701301575,0.9413330554962158,0.9411556124687195,NT 32 CNN
21,RBFOX2,0.8741648197174072,0.944439172744751,0.9453580379486084,NT 32 CNN
22,RBFOX2,0.8736079931259155,0.9471387267112732,0.9436739683151245,NT 32 CNN
23,RBFOX2,0.87193763256073,0.9459472298622131,0.9458748698234558,NT 32 CNN
24,RBFOX2,0.8663697242736816,0.9423719048500061,0.9409566521644592,NT 32 CNN
25,PTBP1,0.9314180016517639,0.9807770252227783,0.9839907884597778,NT 32 CNN
26,PTBP1,0.9240037202835083,0.9824667572975159,0.985395610332489,NT 32 CNN
27,PTBP1,0.9335804581642151,0.9820886850357056,0.9850595593452454,NT 32 CNN
28,PTBP1,0.9329625964164734,0.9819669127464294,0.984187126159668,NT 32 CNN
29,PTBP1,0.9332715272903442,0.9831491112709045,0.9849942326545715,NT 32 CNN
30,HNRNPK,0.945026159286499,0.9883284568786621,0.9846128225326538,NT 32 CNN
31,HNRNPK,0.9511343836784363,0.9877528548240662,0.9836506843566895,NT 32 CNN
32,HNRNPK,0.9511343836784363,0.9879781603813171,0.9843627214431763,NT 32 CNN
33,HNRNPK,0.9371727705001831,0.9894371628761292,0.9847802519798279,NT 32 CNN
34,HNRNPK,0.952006995677948,0.9886514544487,0.984478771686554,NT 32 CNN
35,TIA1,0.8386294841766357,0.9249940514564514,0.92019122838974,NT 32 CNN
36,TIA1,0.8424979448318481,0.9247584939002991,0.9211623072624207,NT 32 CNN
37,TIA1,0.8521690964698792,0.9271875619888306,0.9231064915657043,NT 32 CNN
38,TIA1,0.8494058847427368,0.9299301505088806,0.9256293773651123,NT 32 CNN
39,TIA1,0.850234866142273,0.9291173219680786,0.9224163889884949,NT 32 CNN
40,TARDBP,0.9628406167030334,0.993918776512146,0.9946815967559814,NT 32 CNN
41,TARDBP,0.961601972579956,0.9930140972137451,0.9940555691719055,NT 32 CNN
42,TARDBP,0.9636663794517517,0.9924314618110657,0.9935452342033386,NT 32 CNN
43,TARDBP,0.96449214220047,0.9933074116706848,0.9941712021827698,NT 32 CNN
44,TARDBP,0.9611890912055969,0.9921010136604309,0.9934930205345154,NT 32 CNN
45,PUM2,0.8186206817626953,0.9233411550521851,0.9205448031425476,NT 32 CNN
46,PUM2,0.8441379070281982,0.92823725938797,0.9286091923713684,NT 32 CNN
47,PUM2,0.8337931036949158,0.9276271462440491,0.9271665811538696,NT 32 CNN
48,PUM2,0.8186206817626953,0.9274011850357056,0.9269660115242004,NT 32 CNN
49,PUM2,0.8482758402824402,0.9283924102783203,0.9245830774307251,NT 32 CNN
