,TF,Accuracy,AUROC,AUPR,Model
0,SF3B4,0.9230416417121887,0.9768470525741577,0.9751646518707275,CNN
1,SF3B4,0.9208996295928955,0.9765329957008362,0.9752110838890076,CNN
2,SF3B4,0.917380690574646,0.9738751649856567,0.9717878103256226,CNN
3,SF3B4,0.9201346635818481,0.976223349571228,0.9742119312286377,CNN
4,SF3B4,0.9059057235717773,0.9744827151298523,0.9733589887619019,CNN
5,U2AF1,0.8616071343421936,0.9422167539596558,0.9496299028396606,CNN
6,U2AF1,0.8571428656578064,0.9487386345863342,0.9518648386001587,CNN
7,U2AF1,0.8705357313156128,0.9477854371070862,0.9542005062103271,CNN
8,U2AF1,0.855654776096344,0.9498470425605774,0.9519797563552856,CNN
9,U2AF1,0.8645833134651184,0.9468188881874084,0.9505007266998291,CNN
10,SRSF1,0.8765637874603271,0.955145537853241,0.9573574662208557,CNN
11,SRSF1,0.9032527208328247,0.9617184400558472,0.9612522125244141,CNN
12,SRSF1,0.854045033454895,0.9535141587257385,0.9550279378890991,CNN
13,SRSF1,0.8949124217033386,0.9605273604393005,0.9624762535095215,CNN
14,SRSF1,0.7731443047523499,0.8860875964164734,0.8734613060951233,CNN
15,QKI,0.957602322101593,0.9862051010131836,0.9876583814620972,CNN
16,QKI,0.9590643048286438,0.9887639284133911,0.9893002510070801,CNN
17,QKI,0.9473684430122375,0.9817109107971191,0.9844193458557129,CNN
18,QKI,0.9480994343757629,0.9848564267158508,0.9861951470375061,CNN
19,QKI,0.9444444179534912,0.9820988774299622,0.9840004444122314,CNN
20,RBFOX2,0.8769487738609314,0.9530121088027954,0.9536023736000061,CNN
21,RBFOX2,0.8936525583267212,0.9617705941200256,0.9616113901138306,CNN
22,RBFOX2,0.9059020280838013,0.968417227268219,0.9683197736740112,CNN
23,RBFOX2,0.8958797454833984,0.9676209688186646,0.9663217067718506,CNN
24,RBFOX2,0.9003340601921082,0.968978762626648,0.9665095806121826,CNN
25,PTBP1,0.9487179517745972,0.9885866045951843,0.9897751212120056,CNN
26,PTBP1,0.9493358135223389,0.9890871047973633,0.9900417923927307,CNN
27,PTBP1,0.9493358135223389,0.9899381399154663,0.9905779361724854,CNN
28,PTBP1,0.9474822282791138,0.9882071614265442,0.9893774390220642,CNN
29,PTBP1,0.949026882648468,0.9884700775146484,0.989597737789154,CNN
30,HNRNPK,0.9554973840713501,0.9900280237197876,0.9879149198532104,CNN
31,HNRNPK,0.9528796076774597,0.9880785942077637,0.9840810298919678,CNN
32,HNRNPK,0.9537521600723267,0.9894279837608337,0.986858606338501,CNN
33,HNRNPK,0.9485166072845459,0.9861705303192139,0.983573853969574,CNN
34,HNRNPK,0.9467713832855225,0.987262487411499,0.985763669013977,CNN
35,TIA1,0.8496822118759155,0.9319018125534058,0.9279077053070068,CNN
36,TIA1,0.8585244417190552,0.9343146085739136,0.9306749105453491,CNN
37,TIA1,0.8543796539306641,0.9318874478340149,0.9286170601844788,CNN
38,TIA1,0.8601823449134827,0.9336532950401306,0.9294276833534241,CNN
39,TIA1,0.8626692295074463,0.9358800649642944,0.9312270879745483,CNN
40,TARDBP,0.9777044057846069,0.9957280158996582,0.9964417219161987,CNN
41,TARDBP,0.9777044057846069,0.9956175684928894,0.9958368539810181,CNN
42,TARDBP,0.9764657020568848,0.9960752129554749,0.9961254596710205,CNN
43,TARDBP,0.9772915244102478,0.996614396572113,0.9965373277664185,CNN
44,TARDBP,0.9793559312820435,0.9958979487419128,0.9962185621261597,CNN
45,PUM2,0.862413763999939,0.9442812204360962,0.9428797960281372,CNN
46,PUM2,0.8813793063163757,0.9534955620765686,0.9537981748580933,CNN
47,PUM2,0.8693103194236755,0.9475392699241638,0.9461557269096375,CNN
48,PUM2,0.8593103289604187,0.9364259243011475,0.9342469573020935,CNN
49,PUM2,0.8727586269378662,0.9466549754142761,0.9454353451728821,CNN
