Layer,Embedding CNN,MLP with CLS,MLP with mean embed,CLS RR1e-10,Mean Embedding RR1e-10,CLS RR1e-08,Mean Embedding RR1e-08,CLS RR1e-05,Mean Embedding RR1e-05,CLS Ridge Regression,Mean Embedding Ridge Regression,CLS RR0.1,Mean Embedding RR0.1
0,0.4457441153433414,0.33464951595889714,0.4044347638652655,0.11977288329293445,0.15613365761919995,0.11977288329293445,0.15613365761919995,0.11977288329293445,0.15613365761919995,0.1197762772683384,0.1561340668007446,0.11982269700118708,0.15613918450260178
1,0.48316771004955505,0.37903768655875225,0.4375901013405043,0.13886116763174605,0.17626241493705497,0.13886116763174605,0.17626241493705497,0.13886116763174605,0.17626241493705497,0.1388639489269956,0.17626284367045641,0.13886864965312384,0.17626525834489504
2,0.48074114955297564,0.381820991405884,0.4533912668385435,0.1407515441553081,0.18511168186230542,0.1407515441553081,0.18511168186230542,0.1407515441553081,0.18511168186230542,0.14075104801734062,0.18511165678888308,0.14075381610686,0.18511354772667843
3,0.49938367749088325,0.4058859065780378,0.45714471588736144,0.1553662803615946,0.19244186024119503,0.1553662803615946,0.19244186024119503,0.1553662803615946,0.19244186024119503,0.1553664771178559,0.19244211679083167,0.15536801080727525,0.19244334245117034
4,0.47905351533375273,0.37407035518533127,0.4650490584895819,0.16316760126075214,0.192481057011064,0.16316760126075214,0.192481057011064,0.16316760126075214,0.192481057011064,0.16316760126075214,0.1924810436177249,0.16316867934364088,0.19248229006866213
5,0.5050651258558316,0.41077966373302033,0.4796588472334526,0.17947114603909298,0.20966909892015784,0.17947114603909298,0.20966909892015784,0.17947114603909298,0.20966909892015784,0.17947114603909298,0.20966907937898682,0.17947187696050093,0.2096695740861898
6,0.5049440578100238,0.44973380972709365,0.4744764202563897,0.1836168889445795,0.20744879641262248,0.1836168889445795,0.20744879641262248,0.1836168889445795,0.20744879641262248,0.1836168889445795,0.20744873286162724,0.1836173614204627,0.20744902332971737
7,0.5239321554355777,0.430796651996767,0.48382688446078226,0.17359091039789065,0.20300864745331182,0.17359091039789065,0.20300864745331182,0.17359091039789065,0.20300864745331182,0.17359091039789065,0.2030086519845865,0.1735910671563231,0.20300898738887851
8,0.5347245776260328,0.4516867313779161,0.5057629456097932,0.18797666102482058,0.21986872395868806,0.18797666102482058,0.21986872395868806,0.18797666102482058,0.21986872395868806,0.18797666102482058,0.21986872395868806,0.18797700571815446,0.2198688989152735
9,0.5363784975918349,0.4394101851230963,0.5024633503608079,0.19427121134244763,0.215106670606538,0.19427121134244763,0.215106670606538,0.19427121134244763,0.215106670606538,0.19427121134244763,0.215106670606538,0.19427140110831964,0.21510694440598588
10,0.5327465473347296,0.45470789876710094,0.49684619652485823,0.20494513676469817,0.22341009592267425,0.20494513676469817,0.22341009592267425,0.20494513676469817,0.22341009592267425,0.20494513676469817,0.22341009592267425,0.20494514396622865,0.22341035427805145
11,0.5452111829506515,0.4435596335976243,0.4872616914138833,0.205620759036237,0.21545630722069886,0.205620759036237,0.21545630722069886,0.205620759036237,0.21545630722069886,0.205620759036237,0.21545630722069886,0.20562086368042543,0.2154565915560881
12,0.5199461483769203,0.48305685800210046,0.5007785021124319,0.21093199070302793,0.2220435357303564,0.21093199070302793,0.2220435357303564,0.21093199070302793,0.2220435357303564,0.21093199070302793,0.2220435357303564,0.21093199497534898,0.22204353666707655
13,0.5310274105660995,0.4697913803038349,0.5010462267305318,0.20648436041259288,0.21251358250417984,0.20648436041259288,0.21251358250417984,0.20648436041259288,0.21251358250417984,0.20648436041259288,0.21251358250417984,0.20648446995788794,0.21251379876264387
14,0.5123503649027997,0.4769096068451718,0.49542497420664444,0.21552175010796548,0.2186740471596621,0.21552175010796548,0.2186740471596621,0.21552175010796548,0.2186740471596621,0.21552175010796548,0.2186740471596621,0.2155216998904027,0.21867419535776678
15,0.5135182201616268,0.45033526899559634,0.4800136184471031,0.1983057707530036,0.19614314242543274,0.1983057707530036,0.19614314242543274,0.1983057707530036,0.19614314242543274,0.1983057707530036,0.19614314242543274,0.1983057945133906,0.19614333715079257
16,0.517103590701066,0.4363289520885753,0.48832746838231766,0.19882958652537275,0.20331519372348594,0.19882958652537275,0.20331519372348594,0.19882958652537275,0.20331519372348594,0.19882958652537275,0.20331519372348594,0.19882963270457044,0.20331552453138801
