Layer,Embedding CNN,MLP with CLS,MLP with mean embed,CLS RR1e-10,Mean Embedding RR1e-10,CLS RR1e-08,Mean Embedding RR1e-08,CLS RR1e-05,Mean Embedding RR1e-05,CLS Ridge Regression,Mean Embedding Ridge Regression,CLS RR0.1,Mean Embedding RR0.1
0,0.5406026904416334,0.39090592530078483,0.49040284252503225,0.14312774016661023,0.1949568407850607,0.14312774016661023,0.1949568407850607,0.14312774016661023,0.1949568407850607,0.1431236577735241,0.1949564514888651,0.14313525289563522,0.19495848842334274
1,0.5621239944633803,0.42928102340649993,0.5035882869111619,0.16482960981341943,0.21081755716253192,0.16482960981341943,0.21081755716253192,0.16482960981341943,0.21081755716253192,0.16482917115026874,0.21081736120974848,0.16483356647190917,0.21081863541270274
2,0.5682381634291358,0.45556093902889977,0.5145241673946371,0.1765928651669163,0.21739354465286953,0.1765928651669163,0.21739354465286953,0.1765928651669163,0.21739354465286953,0.1765928651669163,0.21739374234568964,0.17659271808324228,0.21739470498265356
3,0.5758416304573825,0.47829514530382,0.5307058739107805,0.19192499822317632,0.23433877471901254,0.19192499822317632,0.23433877471901254,0.19192499822317632,0.23433877471901254,0.19192499822317632,0.23433885235284202,0.1919252612002308,0.23433925481513096
4,0.577019932252949,0.5039605098145173,0.5300040959339019,0.20602697166495443,0.23545781789333142,0.20602697166495443,0.23545781789333142,0.20602697166495443,0.23545781789333142,0.20602697166495443,0.23545780615319123,0.2060272414229617,0.23545829638742877
5,0.5834021356762753,0.5056258625260208,0.5372611056443198,0.21113198605940986,0.2413478789130047,0.21113198605940986,0.2413478789130047,0.21113198605940986,0.2413478789130047,0.21113198605940986,0.2413478789130047,0.2111317869538254,0.24134800824472868
6,0.5903929315011173,0.5048807953361675,0.5291502390641304,0.20735430243097874,0.23253339572626752,0.20735430243097874,0.23253339572626752,0.20735430243097874,0.23253339572626752,0.20735430243097874,0.23253339572626752,0.2073546498203096,0.23253337889875214
7,0.6055602113487014,0.5066962460827096,0.5540824053614283,0.21171323386253627,0.255028575250943,0.21171323386253627,0.255028575250943,0.21171323386253627,0.255028575250943,0.21171323386253627,0.255028575250943,0.2117134689539073,0.2550288063561239
8,0.623083727430202,0.5359578867083282,0.5706060640811099,0.23135646786945352,0.2651722633021172,0.23135646786945352,0.2651722633021172,0.23135646786945352,0.2651722633021172,0.23135646786945352,0.2651722633021172,0.23135658168242723,0.2651722756030631
9,0.623682201942761,0.5448813881985952,0.5766743016156816,0.24598936331188193,0.2751203586743016,0.24598936331188193,0.2751203586743016,0.24598936331188193,0.2751203586743016,0.24598936331188193,0.2751203586743016,0.24598931403369417,0.27512036913930005
10,0.5983028994412586,0.5454658038435344,0.569450552530107,0.24499653103195407,0.2708088770217444,0.24499653103195407,0.2708088770217444,0.24499653103195407,0.2708088770217444,0.24499653103195407,0.2708088770217444,0.24499663654811865,0.27080873511600057
11,0.6065016849844628,0.5393276893044836,0.567917203712514,0.23914298047611038,0.2693475602546006,0.23914298047611038,0.2693475602546006,0.23914298047611038,0.2693475602546006,0.23914298047611038,0.2693475602546006,0.2391431359531746,0.2693474912527153
12,0.6023578088742801,0.5495444082694343,0.5671650012522604,0.2434641234913697,0.26100019129659036,0.2434641234913697,0.26100019129659036,0.2434641234913697,0.26100019129659036,0.2434641234913697,0.26100019129659036,0.24346413256177013,0.2610001541849254
13,0.5965091571444885,0.5572411554084745,0.5692098066862415,0.25633407660023155,0.26576845023961826,0.25633407660023155,0.26576845023961826,0.25633407660023155,0.26576845023961826,0.25633407660023155,0.26576845023961826,0.2563340775338374,0.26576845589419107
14,0.6040747999151569,0.5470886340471726,0.5667973339300788,0.25429888463138484,0.26593794872235266,0.25429888463138484,0.26593794872235266,0.25429888463138484,0.26593794872235266,0.25429888463138484,0.26593794872235266,0.2542989170758,0.2659381137676482
15,0.5936613151645886,0.5519755916690604,0.5601133549134746,0.25200000207849726,0.2660651207251664,0.25200000207849726,0.2660651207251664,0.25200000207849726,0.2660651207251664,0.25200000207849726,0.2660651207251664,0.25200002836642776,0.2660651559561168
16,0.5865708248419451,0.5248128298763525,0.5494220929367692,0.24205359103488833,0.24442222463131502,0.24205359103488833,0.24442222463131502,0.24205359103488833,0.24442222463131502,0.24205359103488833,0.24442222463131502,0.24205363329451735,0.24442237368209618
17,0.5896096992304054,0.5387038707048043,0.5608165967223224,0.2508111051008195,0.2578010577856693,0.2508111051008195,0.2578010577856693,0.2508111051008195,0.2578010577856693,0.2508111051008195,0.2578010577856693,0.25081105828471706,0.2578010652123369
18,0.5904275603665626,0.5324405682331691,0.5553359650644959,0.24692675851371026,0.2597104525461471,0.24692675851371026,0.2597104525461471,0.24692675851371026,0.2597104525461471,0.24692675851371026,0.2597104525461471,0.24692684009017551,0.2597105528401892
19,0.5922978824882804,0.5550504896487832,0.5482613377535965,0.25213917502980154,0.24983225661661523,0.25213917502980154,0.24983225661661523,0.25213917502980154,0.24983225661661523,0.25213917502980154,0.24983225661661523,0.25213920465953243,0.2498323855470561
20,0.5818160859149993,0.5331716190500466,0.5472953546124107,0.24613919172670418,0.24569505473837827,0.24613919172670418,0.24569505473837827,0.24613919172670418,0.24569505473837827,0.24613919172670418,0.24569505473837827,0.24613926090611327,0.24569507115335332
21,0.5857846079046821,0.5484241848003825,0.5576441138231302,0.252722019511059,0.2509264130864002,0.252722019511059,0.2509264130864002,0.252722019511059,0.2509264130864002,0.252722019511059,0.2509264130864002,0.2527217768870976,0.2509264818546746
22,0.5973119054304924,0.5450392834344561,0.5403013777319174,0.24977867329928438,0.24918376310741608,0.24977867329928438,0.24918376310741608,0.24977867329928438,0.24918376310741608,0.24977867329928438,0.24918376310741608,0.24977871267324137,0.2491839413531981
23,0.5825083735367322,0.5467839682183054,0.5520080490335354,0.2457026651985751,0.24714367078612398,0.2457026651985751,0.24714367078612398,0.2457026651985751,0.24714367078612398,0.2457026651985751,0.24714367078612398,0.24570264592601054,0.24714400725056862
24,0.5806987353102653,0.49808422927079354,0.5392725370140949,0.24332719540346393,0.24218624073534611,0.24332719540346393,0.24218624073534611,0.24332719540346393,0.24218624073534611,0.24332719540346393,0.24218624073534611,0.24332726005380712,0.24218640828064508
25,0.5737531007497513,0.533296315421314,0.5406302279121074,0.24238109659384077,0.23599640212745598,0.24238109659384077,0.23599640212745598,0.24238109659384077,0.23599640212745598,0.24238109659384077,0.23599640212745598,0.24238114983703007,0.2359966391595294
26,0.5771961369286714,0.5425249657764774,0.5461692337253282,0.2491243916388477,0.24137645570476696,0.2491243916388477,0.24137645570476696,0.2491243916388477,0.24137645570476696,0.2491243916388477,0.24137645570476696,0.24912448753738237,0.24137647741957924
27,0.5870491432207243,0.5374309404826265,0.543456961232711,0.24044775806438212,0.23547032411443491,0.24044775806438212,0.23547032411443491,0.24044775806438212,0.23547032411443491,0.24044775806438212,0.23547032411443491,0.24044780819425338,0.23547036608396577
28,0.5645822099523184,0.5342773608058105,0.5369704045818215,0.23840273796464595,0.23650315227793117,0.23840273796464595,0.23650315227793117,0.23840273796464595,0.23650315227793117,0.23840273796464595,0.23650315227793117,0.2384026542421328,0.23650325669566552
29,0.5856377022546436,0.5343436748940297,0.546441686690692,0.24011506424995188,0.24435499965105079,0.24011506424995188,0.24435499965105079,0.24011506424995188,0.24435499965105079,0.24011506424995188,0.24435499965105079,0.24011514206420492,0.2443549670888393
30,0.5775731579342236,0.5378123608915797,0.5386196874007619,0.24555211672987376,0.23732309918518157,0.24555211672987376,0.23732309918518157,0.24555211672987376,0.23732309918518157,0.24555211672987376,0.23732309918518157,0.2455521637131185,0.23732330689075687
31,0.5806986384094381,0.5269966295617922,0.5359636619453488,0.241813806445891,0.23661627318587863,0.241813806445891,0.23661627318587863,0.24181483054543507,0.23661625662853636,0.2418314134248869,0.23661730387873292,0.241912727035131,0.23665132533972244
