Layer,CLS Linear Regression,Mean Embedding Linear Regression
0,0.1443912199910129,0.19873185182246966
1,0.16140022014543154,0.2149152339717062
2,0.18429241128961926,0.2197233487380741
3,0.1945228430840128,0.2298178661588961
4,0.19944071872754288,0.2346495858855634
5,0.21413487252839092,0.2398299257603942
6,0.2081614849592872,0.24429226751449562
7,0.2180393963179479,0.2542274384799522
8,0.2403707722070637,0.27641363122827634
9,0.2396172217080289,0.2729018691507429
10,0.24192934501274566,0.2696972028957205
11,0.24507288503188185,0.2658017440549858
12,0.24912396647688684,0.2614416778504576
13,0.25166567775104143,0.26370628746057256
14,0.2612674151733191,0.26760499280686645
15,0.2504438338244285,0.2602073878372486
16,0.24073365021758875,0.2512865285515564
17,0.24720023518275502,0.25169649864920673
18,0.2502536159752444,0.2558762798854226
19,0.2459722389155754,0.25192898355693905
20,0.25441403429345866,0.25702365355817625
21,0.2568276475092075,0.2567003723507163
22,0.24479891482448024,0.24990393858996407
23,0.2438124296066435,0.24378430824913366
24,0.2493642494062599,0.24919931983299082
25,0.2550980585760072,0.2542779235991828
26,0.24798426727952905,0.23999147303950918
27,0.24629372557328344,0.24369397682130645
28,0.2498903899539091,0.24280483181373136
29,0.25611001959662594,0.2479028675832452
30,0.2451674237615964,0.23803817983756714
31,0.2462162008982537,0.2371730077065235
